ts_utc,open,high,low,close
1777590000,156.6620,157.0210,156.6320,156.9890
1777593600,156.9820,157.3060,156.9550,157.0760
1777597200,157.0790,157.2550,157.0390,157.1940
1777600800,157.1910,157.3260,157.1200,157.2340
1777604400,157.2280,157.2910,156.9820,157.1770
1777608000,157.1770,157.2800,157.1000,157.2340
1777611600,157.2340,157.2980,157.1920,157.2710
1777615200,157.2740,157.2950,155.4530,155.9640
1777618800,155.9510,156.7240,155.8480,156.6240
1777622400,156.6140,156.6560,156.2520,156.4620
1777626000,156.4620,156.7610,156.4150,156.5650
1777629600,156.5740,156.6270,156.4810,156.5890
1777633200,156.5970,156.6250,156.4290,156.5810
1777636800,156.5720,156.6430,156.3790,156.5870
1777640400,156.5930,156.7540,156.3240,156.4960
1777644000,156.4950,156.7250,156.3580,156.6390
1777647600,156.6290,156.8960,156.6140,156.7580
1777651200,156.7540,156.9440,156.6600,156.9420
1777654800,156.9410,157.0280,156.8480,156.9300
1777658400,156.9230,157.1180,156.9080,157.0080
1777662000,157.0080,157.0910,156.9910,157.0610
1777665600,157.0570,157.0910,156.9480,157.0400
1777867200,156.6640,156.7900,156.6220,156.7270
1777870800,156.7220,156.8620,156.5170,156.7810
1777874400,156.7690,156.9400,156.7180,156.9250
1777878000,156.9140,156.9800,156.8110,156.8940
1777881600,156.8810,156.9790,156.8760,156.9390
1777885200,156.9520,157.0130,156.8880,156.9590
1777888800,156.9590,157.2040,156.9500,157.1080
1777892400,157.1090,157.1830,157.0570,157.1690
1777896000,157.1670,157.1820,157.0120,157.1390
1777899600,157.1390,157.1840,156.9610,157.0080
1777903200,157.0110,157.1520,156.9190,157.0910
1777906800,157.0960,157.3000,156.9380,157.1920
1777910400,157.1950,157.3030,157.1300,157.2670
1777914000,157.2660,157.2840,157.1580,157.2180
1777917600,157.2200,157.2790,156.5180,156.7090
1777921200,156.7160,157.1310,156.7160,157.0840
1777924800,157.0980,157.2870,157.0840,157.2160
1777928400,157.2000,157.2320,157.0990,157.1260
1777932000,157.1130,157.2690,157.1110,157.2270
1777935600,157.2170,157.2380,157.1660,157.2080
1777939200,157.2060,157.2550,157.1570,157.2010
1777942800,157.2030,157.2710,157.1740,157.2110
1777946400,157.2070,157.2320,157.1740,157.2170
1777950000,157.2130,157.2680,157.1990,157.2660
1777953600,157.2670,157.2980,157.2240,157.2760
1777957200,157.2800,157.3000,157.2070,157.2710
1777960800,157.2750,157.2990,157.1850,157.2260
1777964400,157.2160,157.2390,157.0770,157.2260
1777968000,157.2260,157.2850,157.1950,157.2790
1777971600,157.2740,157.8920,157.0980,157.5120
1777975200,157.5000,157.6690,157.4780,157.6120
1777978800,157.6030,157.7920,157.5970,157.7460
1777982400,157.7330,157.8380,157.6280,157.7630
1777986000,157.7660,157.7980,157.6630,157.7740
1777989600,157.7640,157.8280,157.6670,157.6720
1777993200,157.6730,157.7290,157.5990,157.6750
1777996800,157.6750,157.8020,157.6450,157.7830
1778000400,157.7830,157.8860,157.7620,157.8450
1778004000,157.8440,157.9180,157.8290,157.8700
1778007600,157.8730,157.9160,157.8530,157.8730
1778011200,157.8770,157.8990,157.8300,157.8620
1778014800,157.8630,157.8950,157.7860,157.8490
1778018400,157.8840,157.9300,157.5760,157.7550
1778022000,157.7220,157.7330,157.5250,157.6730
1778025600,157.6650,157.7090,157.5420,157.5910
1778029200,157.5860,157.6970,157.5670,157.6900
1778032800,157.6950,157.8330,157.6450,157.8040
1778036400,157.8120,157.8930,157.7160,157.7760
1778040000,157.7700,157.8240,154.9920,155.9320
1778043600,155.9080,156.3900,155.7340,156.3180
1778047200,156.3310,156.4550,156.2920,156.3760
1778050800,156.3800,156.5650,155.7030,155.8110
1778054400,155.8050,156.2910,155.7390,155.9760
1778058000,155.9720,156.1090,155.9080,155.9180
1778061600,155.9260,156.1230,155.6060,155.7500
1778065200,155.7500,156.1070,155.6950,156.0790
1778068800,156.0790,156.3060,156.0790,156.2750
1778072400,156.2830,156.3170,156.0490,156.1100
1778076000,156.1170,156.2970,156.0380,156.2770
1778079600,156.2800,156.4570,156.2630,156.4380
1778083200,156.4310,156.4880,156.3570,156.4240
1778086800,156.4200,156.5150,156.3430,156.4890
1778090400,156.4800,156.4880,156.3490,156.3990
1778094000,156.3990,156.4400,156.3440,156.4100
1778097600,156.4150,156.4550,156.2890,156.3780
1778101200,156.3450,156.3700,156.2020,156.2290
1778104800,156.2160,156.3790,156.2100,156.3430
1778108400,156.3260,156.5250,156.2650,156.5110
1778112000,156.5120,156.5270,156.2100,156.3210
1778115600,156.3170,156.3530,156.0110,156.2090
1778119200,156.2180,156.3510,156.1430,156.3310
1778122800,156.3250,156.4380,156.3000,156.4100
1778126400,156.4090,156.4220,156.3000,156.3580
1778130000,156.3520,156.3980,156.2980,156.3740
1778133600,156.3690,156.4110,156.0980,156.2890
1778137200,156.2780,156.2940,156.0140,156.2610
1778140800,156.2620,156.3400,156.1750,156.3200
1778144400,156.3170,156.4170,156.2950,156.3710
1778148000,156.3740,156.4020,156.2840,156.3970
1778151600,156.3970,156.4730,156.3410,156.3960
1778155200,156.4050,156.4210,156.2340,156.2850
1778158800,156.2760,156.4080,156.2470,156.3390
1778162400,156.3390,156.4040,156.1630,156.2530
1778166000,156.2530,156.5130,156.2400,156.4840
1778169600,156.4780,156.6460,156.4630,156.6240
1778173200,156.6240,156.8630,156.6130,156.6610
1778176800,156.6610,156.8650,156.6010,156.7410
1778180400,156.7350,156.8770,156.6770,156.8700
1778184000,156.8620,156.9560,156.7360,156.8700
1778187600,156.8830,156.9070,156.7080,156.8210
1778191200,156.8080,156.9530,156.8080,156.8720
1778194800,156.8710,156.9160,156.8150,156.8380
1778198400,156.8460,156.9920,156.8040,156.9640
1778202000,156.9640,156.9740,156.8440,156.8980
1778205600,156.8950,156.9570,156.8660,156.8910
1778209200,156.8820,156.8980,156.7620,156.8310
1778212800,156.8320,156.9000,156.8190,156.8470
1778216400,156.8420,156.8840,156.8050,156.8260
1778220000,156.8300,156.8470,156.7070,156.8240
1778223600,156.8240,156.8520,156.7290,156.8330
1778227200,156.8270,156.8580,156.6280,156.6990
1778230800,156.7040,156.7100,156.6220,156.6740
1778234400,156.6730,156.7870,156.6460,156.7750
1778238000,156.7750,156.7860,156.7190,156.7500
1778241600,156.7470,156.8270,156.5140,156.6420
1778245200,156.6330,156.7020,156.4250,156.4970
1778248800,156.4960,156.6650,156.4780,156.6230
1778252400,156.6240,156.6730,156.5460,156.6390
1778256000,156.6380,156.7050,156.5900,156.6980
1778259600,156.6930,156.7160,156.6050,156.6830
1778263200,156.6830,156.7470,156.5840,156.6940
1778266800,156.6880,156.7730,156.6630,156.7220
1778270400,156.7240,156.7580,156.6210,156.6210
1778454000,156.8900,156.8970,156.8240,156.8580
1778457600,156.8630,157.0630,156.8250,156.9360
1778461200,156.9300,157.0970,156.9160,157.0950
1778464800,157.0890,157.1510,157.0450,157.1360
1778468400,157.1370,157.1750,157.0860,157.1570
1778472000,157.1570,157.1610,157.0820,157.1250
1778475600,157.1240,157.1480,157.0620,157.1360
1778479200,157.1270,157.1480,156.9830,156.9970
1778482800,156.9910,157.1360,156.9830,157.1210
1778486400,157.1160,157.1460,156.9400,157.0790
1778490000,157.0840,157.1470,157.0620,157.1400
1778493600,157.1360,157.1610,157.0760,157.1370
1778497200,157.1340,157.1480,157.0620,157.1200
1778500800,157.1140,157.1390,157.0510,157.1140
1778504400,157.1090,157.1260,156.9850,157.0350
1778508000,157.0220,157.0950,156.9720,156.9880
1778511600,156.9920,157.0720,156.9760,157.0470
1778515200,157.0430,157.1650,157.0260,157.1520
