slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,choppy,9,0,0.0,,,,,42.29,43.37,23.56
regime_label,baseline_prev_day_direction,trending,7,7,1.0,,,,,20.48,20.76,20.48
regime_label,baseline_random_walk,choppy,16,0,0.0,,,,,19.2,13.2,19.2
regime_label,baseline_simple_technical,choppy,9,0,0.0,,,,,49.91,42.92,22.13
regime_label,baseline_simple_technical,trending,7,7,1.0,,,,,15.75,13.13,15.75
regime_label,ugh,choppy,11,0,0.0,10,0.9091,11,1.0,14.3,11.94,14.07
regime_label,ugh,trending,5,5,1.0,2,0.4,5,1.0,30.13,31.94,30.13
volatility_label,baseline_prev_day_direction,high,4,1,0.25,,,,,61.39,54.97,42.17
volatility_label,baseline_prev_day_direction,low,5,3,0.6,,,,,8.41,6.26,5.41
volatility_label,baseline_prev_day_direction,normal,7,3,0.4286,,,,,33.77,30.89,22.81
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,58.93,58.93,58.93
volatility_label,baseline_random_walk,low,10,0,0.0,,,,,8.98,10.7,8.98
volatility_label,baseline_random_walk,normal,5,0,0.0,,,,,31.7,32.05,31.7
volatility_label,baseline_simple_technical,high,2,0,0.0,,,,,79.75,79.75,17.6
volatility_label,baseline_simple_technical,low,5,5,1.0,,,,,9.34,8.79,9.34
volatility_label,baseline_simple_technical,normal,9,2,0.2222,,,,,39.25,38.99,25.28
volatility_label,ugh,high,1,1,1.0,0,0.0,1,1.0,58.92,58.92,58.92
volatility_label,ugh,low,10,2,0.2,10,1.0,10,1.0,9.05,10.83,8.87
volatility_label,ugh,normal,5,2,0.4,2,0.4,5,1.0,31.7,31.94,31.58
intervention_risk,baseline_prev_day_direction,low,15,6,0.4,,,,,31.25,28.2,20.01
intervention_risk,baseline_prev_day_direction,medium,1,1,1.0,,,,,55.17,55.17,55.17
intervention_risk,baseline_random_walk,low,15,0,0.0,,,,,16.55,12.61,16.55
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,58.93,58.93,58.93
intervention_risk,baseline_simple_technical,low,15,7,0.4667,,,,,30.86,36.98,19.21
intervention_risk,baseline_simple_technical,medium,1,0,0.0,,,,,96.56,96.56,21.3
intervention_risk,ugh,low,15,4,0.2667,12,0.8,15,1.0,16.6,12.8,16.44
intervention_risk,ugh,medium,1,1,1.0,0,0.0,1,1.0,58.92,58.92,58.92
