slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,19,11,0.5789,,,,,,,18.91,14.86,13.86
regime_label,baseline_random_walk,trending,19,0,0.0,,,,,,,13.07,11.85,13.07
regime_label,baseline_simple_technical,trending,19,15,0.7895,,,,,,,11.65,7.42,9.15
regime_label,ugh_v2_alpha,trending,19,14,0.7368,13,0.6842,9,0.4737,0,0.0,12.2,9.31,10.39
regime_label,ugh_v2_beta,trending,19,13,0.6842,10,0.5263,9,0.4737,0,0.0,12.74,9.82,10.84
regime_label,ugh_v2_delta,trending,19,13,0.6842,12,0.6316,9,0.4737,0,0.0,12.57,9.89,10.71
regime_label,ugh_v2_gamma,trending,19,14,0.7368,14,0.7368,9,0.4737,0,0.0,12.14,9.55,10.38
volatility_label,baseline_prev_day_direction,high,3,2,0.6667,,,,,,,27.62,28.6,19.72
volatility_label,baseline_prev_day_direction,low,3,2,0.6667,,,,,,,16.3,16.72,14.24
volatility_label,baseline_prev_day_direction,normal,13,7,0.5385,,,,,,,17.5,13.12,12.42
volatility_label,baseline_random_walk,high,3,0,0.0,,,,,,,29.7,36.14,29.7
volatility_label,baseline_random_walk,low,3,0,0.0,,,,,,,11.14,14.22,11.14
volatility_label,baseline_random_walk,normal,13,0,0.0,,,,,,,9.69,9.36,9.69
volatility_label,baseline_simple_technical,high,3,2,0.6667,,,,,,,31.79,31.21,22.55
volatility_label,baseline_simple_technical,low,3,3,1.0,,,,,,,5.85,3.76,5.85
volatility_label,baseline_simple_technical,normal,13,10,0.7692,,,,,,,8.34,4.11,6.82
volatility_label,ugh_v2_alpha,high,3,2,0.6667,1,0.3333,2,0.6667,,,29.16,39.36,24.28
volatility_label,ugh_v2_alpha,low,3,3,1.0,2,0.6667,1,0.3333,0,0.0,9.68,9.31,9.68
volatility_label,ugh_v2_alpha,normal,13,9,0.6923,10,0.7692,6,0.4615,0,0.0,8.87,9.06,7.35
volatility_label,ugh_v2_beta,high,3,2,0.6667,1,0.3333,2,0.6667,,,28.96,37.97,23.55
volatility_label,ugh_v2_beta,low,3,3,1.0,1,0.3333,1,0.3333,0,0.0,10.93,11.07,10.93
volatility_label,ugh_v2_beta,normal,13,8,0.6154,8,0.6154,6,0.4615,0,0.0,9.42,9.46,7.89
volatility_label,ugh_v2_delta,high,3,2,0.6667,1,0.3333,2,0.6667,,,29.07,38.64,23.9
volatility_label,ugh_v2_delta,low,3,3,1.0,2,0.6667,1,0.3333,0,0.0,10.36,10.27,10.36
volatility_label,ugh_v2_delta,normal,13,8,0.6154,9,0.6923,6,0.4615,0,0.0,9.27,9.23,7.75
volatility_label,ugh_v2_gamma,high,3,2,0.6667,1,0.3333,2,0.6667,,,28.69,39.55,24.12
volatility_label,ugh_v2_gamma,low,3,3,1.0,2,0.6667,1,0.3333,0,0.0,9.7,9.55,9.7
volatility_label,ugh_v2_gamma,normal,13,9,0.6923,11,0.8462,6,0.4615,0,0.0,8.89,8.78,7.36
intervention_risk,baseline_prev_day_direction,low,19,11,0.5789,,,,,,,18.91,14.86,13.86
intervention_risk,baseline_random_walk,low,19,0,0.0,,,,,,,13.07,11.85,13.07
intervention_risk,baseline_simple_technical,low,19,15,0.7895,,,,,,,11.65,7.42,9.15
intervention_risk,ugh_v2_alpha,low,19,14,0.7368,13,0.6842,9,0.4737,0,0.0,12.2,9.31,10.39
intervention_risk,ugh_v2_beta,low,19,13,0.6842,10,0.5263,9,0.4737,0,0.0,12.74,9.82,10.84
intervention_risk,ugh_v2_delta,low,19,13,0.6842,12,0.6316,9,0.4737,0,0.0,12.57,9.89,10.71
intervention_risk,ugh_v2_gamma,low,19,14,0.7368,14,0.7368,9,0.4737,0,0.0,12.14,9.55,10.38
