slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
regime_label,baseline_prev_day_direction,trending,23,10,0.4348,,,,,,,39.64,16.99,22.86,10,23,0.4348
regime_label,baseline_random_walk,trending,23,0,0.0,,,,,,,21.8,10.05,21.8,0,0,
regime_label,baseline_simple_technical,trending,23,8,0.3478,,,,,,,50.87,49.87,29.66,8,23,0.3478
regime_label,ugh_v2_alpha,trending,23,9,0.3913,22,0.9565,17,0.8095,9,0.3913,25.69,11.96,15.84,9,18,0.5
regime_label,ugh_v2_beta,trending,23,9,0.3913,22,0.9565,17,0.8095,11,0.4783,25.4,11.96,16.56,9,18,0.5
regime_label,ugh_v2_delta,trending,23,7,0.3043,22,0.9565,17,0.8095,11,0.4783,25.9,11.96,16.08,7,17,0.4118
regime_label,ugh_v2_gamma,trending,23,9,0.3913,22,0.9565,17,0.8095,9,0.3913,25.37,11.81,16.02,9,18,0.5
volatility_label,baseline_prev_day_direction,high,1,0,0.0,,,,,,,104.03,104.03,76.42,0,1,0.0
volatility_label,baseline_prev_day_direction,low,9,6,0.6667,,,,,,,25.8,5.66,24.25,6,9,0.6667
volatility_label,baseline_prev_day_direction,normal,13,4,0.3077,,,,,,,44.27,16.99,17.77,4,13,0.3077
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,,,90.23,90.23,90.23,0,0,
volatility_label,baseline_random_walk,low,9,0,0.0,,,,,,,12.94,6.28,12.94,0,0,
volatility_label,baseline_random_walk,normal,13,0,0.0,,,,,,,22.68,11.96,22.68,0,0,
volatility_label,baseline_simple_technical,high,1,1,1.0,,,,,,,54.22,54.22,54.22,1,1,1.0
volatility_label,baseline_simple_technical,low,9,3,0.3333,,,,,,,47.65,41.37,27.46,3,9,0.3333
volatility_label,baseline_simple_technical,normal,13,4,0.3077,,,,,,,52.84,49.87,29.29,4,13,0.3077
volatility_label,ugh_v2_alpha,high,1,0,0.0,1,1.0,1,1.0,0,0.0,90.23,90.23,90.23,0,0,
volatility_label,ugh_v2_alpha,low,9,5,0.5556,9,1.0,7,1.0,2,0.2222,17.11,6.75,9.06,5,8,0.625
volatility_label,ugh_v2_alpha,normal,13,4,0.3077,12,0.9231,9,0.6923,7,0.5385,26.66,11.96,14.81,4,10,0.4
volatility_label,ugh_v2_beta,high,1,0,0.0,1,1.0,1,1.0,0,0.0,95.77,95.77,84.69,0,1,0.0
volatility_label,ugh_v2_beta,low,9,5,0.5556,9,1.0,7,1.0,2,0.2222,13.73,4.39,9.36,5,7,0.7143
volatility_label,ugh_v2_beta,normal,13,4,0.3077,12,0.9231,9,0.6923,9,0.6923,28.07,14.8,16.31,4,10,0.4
volatility_label,ugh_v2_delta,high,1,0,0.0,1,1.0,1,1.0,0,0.0,93.79,93.79,86.66,0,1,0.0
volatility_label,ugh_v2_delta,low,9,4,0.4444,9,1.0,7,1.0,2,0.2222,15.27,6.7,8.69,4,7,0.5714
volatility_label,ugh_v2_delta,normal,13,3,0.2308,12,0.9231,9,0.6923,9,0.6923,28.03,13.25,15.77,3,9,0.3333
volatility_label,ugh_v2_gamma,high,1,0,0.0,1,1.0,1,1.0,0,0.0,90.23,90.23,90.23,0,0,
volatility_label,ugh_v2_gamma,low,9,5,0.5556,9,1.0,7,1.0,2,0.2222,16.81,5.84,8.75,5,8,0.625
volatility_label,ugh_v2_gamma,normal,13,4,0.3077,12,0.9231,9,0.6923,7,0.5385,26.31,11.96,15.34,4,10,0.4
intervention_risk,baseline_prev_day_direction,low,20,10,0.5,,,,,,,26.13,16.65,17.81,10,20,0.5
intervention_risk,baseline_prev_day_direction,medium,3,0,0.0,,,,,,,129.73,138.67,56.5,0,3,0.0
intervention_risk,baseline_random_walk,low,20,0,0.0,,,,,,,12.81,8.8,12.81,0,0,
intervention_risk,baseline_random_walk,medium,3,0,0.0,,,,,,,81.8,90.23,81.8,0,0,
intervention_risk,baseline_simple_technical,low,20,7,0.35,,,,,,,44.27,48.23,27.39,7,20,0.35
intervention_risk,baseline_simple_technical,medium,3,1,0.3333,,,,,,,94.84,96.69,44.75,1,3,0.3333
intervention_risk,ugh_v2_alpha,low,20,9,0.45,20,1.0,15,0.8333,8,0.4,14.86,9.35,8.36,9,16,0.5625
intervention_risk,ugh_v2_alpha,medium,3,0,0.0,2,0.6667,2,0.6667,1,0.3333,97.87,90.23,65.72,0,2,0.0
intervention_risk,ugh_v2_beta,low,20,9,0.45,20,1.0,15,0.8333,10,0.5,13.94,8.92,9.78,9,15,0.6
intervention_risk,ugh_v2_beta,medium,3,0,0.0,2,0.6667,2,0.6667,1,0.3333,101.84,95.77,61.76,0,3,0.0
intervention_risk,ugh_v2_delta,low,20,7,0.35,20,1.0,15,0.8333,10,0.5,14.65,10.7,9.09,7,14,0.5
intervention_risk,ugh_v2_delta,medium,3,0,0.0,2,0.6667,2,0.6667,1,0.3333,100.87,93.79,62.73,0,3,0.0
intervention_risk,ugh_v2_gamma,low,20,9,0.45,20,1.0,15,0.8333,8,0.4,14.66,9.35,8.4,9,16,0.5625
intervention_risk,ugh_v2_gamma,medium,3,0,0.0,2,0.6667,2,0.6667,1,0.3333,96.77,90.23,66.83,0,2,0.0
