slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,all,4,2,0.5,,,,,11.97,9.45,5.06
regime_label,baseline_random_walk,all,4,0,0.0,,,,,12.44,12.27,12.44
regime_label,baseline_simple_technical,all,4,2,0.5,,,,,41.54,40.92,27.05
regime_label,ugh_v2_alpha,all,4,3,0.75,4,1.0,4,1.0,12.35,10.27,7.95
regime_label,ugh_v2_beta,all,4,3,0.75,4,1.0,4,1.0,10.21,7.22,5.81
regime_label,ugh_v2_delta,all,4,3,0.75,4,1.0,4,1.0,11.17,8.59,6.77
regime_label,ugh_v2_gamma,all,4,3,0.75,4,1.0,4,1.0,12.05,10.49,7.64
volatility_label,baseline_prev_day_direction,all,4,2,0.5,,,,,11.97,9.45,5.06
volatility_label,baseline_random_walk,all,4,0,0.0,,,,,12.44,12.27,12.44
volatility_label,baseline_simple_technical,all,4,2,0.5,,,,,41.54,40.92,27.05
volatility_label,ugh_v2_alpha,all,4,3,0.75,4,1.0,4,1.0,12.35,10.27,7.95
volatility_label,ugh_v2_beta,all,4,3,0.75,4,1.0,4,1.0,10.21,7.22,5.81
volatility_label,ugh_v2_delta,all,4,3,0.75,4,1.0,4,1.0,11.17,8.59,6.77
volatility_label,ugh_v2_gamma,all,4,3,0.75,4,1.0,4,1.0,12.05,10.49,7.64
intervention_risk,baseline_prev_day_direction,all,4,2,0.5,,,,,11.97,9.45,5.06
intervention_risk,baseline_random_walk,all,4,0,0.0,,,,,12.44,12.27,12.44
intervention_risk,baseline_simple_technical,all,4,2,0.5,,,,,41.54,40.92,27.05
intervention_risk,ugh_v2_alpha,all,4,3,0.75,4,1.0,4,1.0,12.35,10.27,7.95
intervention_risk,ugh_v2_beta,all,4,3,0.75,4,1.0,4,1.0,10.21,7.22,5.81
intervention_risk,ugh_v2_delta,all,4,3,0.75,4,1.0,4,1.0,11.17,8.59,6.77
intervention_risk,ugh_v2_gamma,all,4,3,0.75,4,1.0,4,1.0,12.05,10.49,7.64
