slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,5,3,0.6,,,,,,,24.36,22.94,19.9
regime_label,baseline_random_walk,trending,5,0,0.0,,,,,,,17.16,15.59,17.16
regime_label,baseline_simple_technical,trending,5,4,0.8,,,,,,,13.95,12.21,11.72
regime_label,ugh_v2_alpha,trending,5,4,0.8,3,0.6,3,0.6,,,16.3,12.51,14.07
regime_label,ugh_v2_beta,trending,5,3,0.6,2,0.4,3,0.6,,,16.97,13.53,14.74
regime_label,ugh_v2_delta,trending,5,3,0.6,2,0.4,3,0.6,,,16.95,12.9,14.72
regime_label,ugh_v2_gamma,trending,5,4,0.8,4,0.8,3,0.6,,,16.34,12.34,14.11
volatility_label,baseline_prev_day_direction,high,1,1,1.0,,,,,,,28.6,28.6,28.6
volatility_label,baseline_prev_day_direction,normal,4,2,0.5,,,,,,,23.3,18.6,17.72
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,,,44.19,44.19,44.19
volatility_label,baseline_random_walk,normal,4,0,0.0,,,,,,,10.41,10.58,10.41
volatility_label,baseline_simple_technical,high,1,1,1.0,,,,,,,31.21,31.21,31.21
volatility_label,baseline_simple_technical,normal,4,3,0.75,,,,,,,9.64,7.58,6.85
volatility_label,ugh_v2_alpha,high,1,1,1.0,0,0.0,1,1.0,,,39.36,39.36,39.36
volatility_label,ugh_v2_alpha,normal,4,3,0.75,3,0.75,2,0.5,,,10.54,11.43,7.75
volatility_label,ugh_v2_beta,high,1,1,1.0,0,0.0,1,1.0,,,37.97,37.97,37.97
volatility_label,ugh_v2_beta,normal,4,2,0.5,2,0.5,2,0.5,,,11.72,11.49,8.93
volatility_label,ugh_v2_delta,high,1,1,1.0,0,0.0,1,1.0,,,38.64,38.64,38.64
volatility_label,ugh_v2_delta,normal,4,2,0.5,2,0.5,2,0.5,,,11.53,11.39,8.74
volatility_label,ugh_v2_gamma,high,1,1,1.0,0,0.0,1,1.0,,,39.55,39.55,39.55
volatility_label,ugh_v2_gamma,normal,4,3,0.75,4,1.0,2,0.5,,,10.53,11.46,7.74
intervention_risk,baseline_prev_day_direction,low,5,3,0.6,,,,,,,24.36,22.94,19.9
intervention_risk,baseline_random_walk,low,5,0,0.0,,,,,,,17.16,15.59,17.16
intervention_risk,baseline_simple_technical,low,5,4,0.8,,,,,,,13.95,12.21,11.72
intervention_risk,ugh_v2_alpha,low,5,4,0.8,3,0.6,3,0.6,,,16.3,12.51,14.07
intervention_risk,ugh_v2_beta,low,5,3,0.6,2,0.4,3,0.6,,,16.97,13.53,14.74
intervention_risk,ugh_v2_delta,low,5,3,0.6,2,0.4,3,0.6,,,16.95,12.9,14.72
intervention_risk,ugh_v2_gamma,low,5,4,0.8,4,0.8,3,0.6,,,16.34,12.34,14.11
