slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
regime_label,baseline_prev_day_direction,trending,4,2,0.5,,,,,,,63.94,60.43,28.1,2,4,0.5
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,50.98,55.6,50.98,0,0,
regime_label,baseline_simple_technical,trending,4,1,0.25,,,,,,,88.26,100.24,19.83,1,4,0.25
regime_label,ugh_v2_alpha,trending,4,1,0.25,4,1.0,4,1.0,1,0.25,67.02,68.39,31.87,1,4,0.25
regime_label,ugh_v2_beta,trending,4,2,0.5,4,1.0,4,1.0,1,0.25,62.45,56.17,34.31,2,3,0.6667
regime_label,ugh_v2_delta,trending,4,0,0.0,4,1.0,4,1.0,1,0.25,65.04,61.37,36.91,0,1,0.0
regime_label,ugh_v2_gamma,trending,4,1,0.25,4,1.0,4,1.0,1,0.25,66.42,67.86,32.7,1,4,0.25
volatility_label,baseline_prev_day_direction,normal,4,2,0.5,,,,,,,63.94,60.43,28.1,2,4,0.5
volatility_label,baseline_random_walk,normal,4,0,0.0,,,,,,,50.98,55.6,50.98,0,0,
volatility_label,baseline_simple_technical,normal,4,1,0.25,,,,,,,88.26,100.24,19.83,1,4,0.25
volatility_label,ugh_v2_alpha,normal,4,1,0.25,4,1.0,4,1.0,1,0.25,67.02,68.39,31.87,1,4,0.25
volatility_label,ugh_v2_beta,normal,4,2,0.5,4,1.0,4,1.0,1,0.25,62.45,56.17,34.31,2,3,0.6667
volatility_label,ugh_v2_delta,normal,4,0,0.0,4,1.0,4,1.0,1,0.25,65.04,61.37,36.91,0,1,0.0
volatility_label,ugh_v2_gamma,normal,4,1,0.25,4,1.0,4,1.0,1,0.25,66.42,67.86,32.7,1,4,0.25
intervention_risk,baseline_prev_day_direction,low,2,1,0.5,,,,,,,54.66,54.66,37.38,1,2,0.5
intervention_risk,baseline_prev_day_direction,medium,2,1,0.5,,,,,,,73.22,73.22,18.81,1,2,0.5
intervention_risk,baseline_random_walk,low,2,0,0.0,,,,,,,32.29,32.29,32.29,0,0,
intervention_risk,baseline_random_walk,medium,2,0,0.0,,,,,,,69.67,69.67,69.67,0,0,
intervention_risk,baseline_simple_technical,low,2,1,0.5,,,,,,,61.37,61.37,15.47,1,2,0.5
intervention_risk,baseline_simple_technical,medium,2,0,0.0,,,,,,,115.15,115.15,24.18,0,2,0.0
intervention_risk,ugh_v2_alpha,low,2,1,0.5,2,1.0,2,1.0,0,0.0,32.8,32.8,25.64,1,2,0.5
intervention_risk,ugh_v2_alpha,medium,2,0,0.0,2,1.0,2,1.0,1,0.5,101.24,101.24,38.1,0,2,0.0
intervention_risk,ugh_v2_beta,low,2,1,0.5,2,1.0,2,1.0,0,0.0,29.76,29.76,29.76,1,1,1.0
intervention_risk,ugh_v2_beta,medium,2,1,0.5,2,1.0,2,1.0,1,0.5,95.14,95.14,38.87,1,2,0.5
intervention_risk,ugh_v2_delta,low,2,0,0.0,2,1.0,2,1.0,0,0.0,32.29,32.29,32.29,0,0,
intervention_risk,ugh_v2_delta,medium,2,0,0.0,2,1.0,2,1.0,1,0.5,97.8,97.8,41.53,0,1,0.0
intervention_risk,ugh_v2_gamma,low,2,1,0.5,2,1.0,2,1.0,0,0.0,32.81,32.81,26.09,1,2,0.5
intervention_risk,ugh_v2_gamma,medium,2,0,0.0,2,1.0,2,1.0,1,0.5,100.02,100.02,39.31,0,2,0.0
