slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,mixed,1,0,0.0,,,,,146.0,146.0,46.77
regime_label,baseline_prev_day_direction,trending,4,3,0.75,,,,,36.5,29.65,27.97
regime_label,baseline_random_walk,mixed,1,0,0.0,,,,,49.62,49.62,49.62
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,31.74,30.7,31.74
regime_label,baseline_simple_technical,mixed,1,0,0.0,,,,,90.3,90.3,8.93
regime_label,baseline_simple_technical,trending,4,4,1.0,,,,,13.59,14.41,13.59
regime_label,ugh,mixed,1,0,0.0,0,0.0,1,1.0,49.85,49.85,49.38
regime_label,ugh,trending,4,4,1.0,3,0.75,4,1.0,31.51,30.47,31.51
volatility_label,baseline_prev_day_direction,high,2,1,0.5,,,,,88.74,88.74,39.12
volatility_label,baseline_prev_day_direction,normal,3,2,0.6667,,,,,38.17,27.83,26.81
volatility_label,baseline_random_walk,high,2,0,0.0,,,,,49.07,49.07,49.07
volatility_label,baseline_random_walk,normal,3,0,0.0,,,,,26.15,20.69,26.15
volatility_label,baseline_simple_technical,high,2,1,0.5,,,,,49.91,49.91,9.22
volatility_label,baseline_simple_technical,normal,3,3,1.0,,,,,14.95,19.3,14.95
volatility_label,ugh,high,2,1,0.5,0,0.0,2,1.0,49.07,49.07,48.84
volatility_label,ugh,normal,3,3,1.0,3,1.0,3,1.0,25.92,20.46,25.92
intervention_risk,baseline_prev_day_direction,high,2,2,1.0,,,,,23.92,23.92,23.92
intervention_risk,baseline_prev_day_direction,medium,3,1,0.3333,,,,,81.38,66.66,36.94
intervention_risk,baseline_random_walk,high,2,0,0.0,,,,,30.7,30.7,30.7
intervention_risk,baseline_random_walk,medium,3,0,0.0,,,,,38.39,48.52,38.39
intervention_risk,baseline_simple_technical,high,2,2,1.0,,,,,9.84,9.84,9.84
intervention_risk,baseline_simple_technical,medium,3,2,0.6667,,,,,41.66,25.16,14.53
intervention_risk,ugh,high,2,2,1.0,2,1.0,2,1.0,30.47,30.47,30.47
intervention_risk,ugh,medium,3,2,0.6667,1,0.3333,3,1.0,38.32,48.29,38.16
event_tag,baseline_prev_day_direction,boj_pm_rift,1,1,1.0,,,,,27.83,27.83,27.83
event_tag,baseline_prev_day_direction,geopolitical_shock,1,0,0.0,,,,,146.0,146.0,46.77
event_tag,baseline_prev_day_direction,hawkish_fed,1,1,1.0,,,,,31.48,31.48,31.48
event_tag,baseline_prev_day_direction,intervention_warning,2,2,1.0,,,,,23.92,23.92,23.92
event_tag,baseline_prev_day_direction,oil_retreat,1,0,0.0,,,,,66.66,66.66,32.57
event_tag,baseline_prev_day_direction,ppi_us,1,1,1.0,,,,,31.48,31.48,31.48
event_tag,baseline_prev_day_direction,us_iran,4,2,0.5,,,,,66.04,49.07,32.71
event_tag,baseline_random_walk,boj_pm_rift,1,0,0.0,,,,,20.69,20.69,20.69
event_tag,baseline_random_walk,geopolitical_shock,1,0,0.0,,,,,49.62,49.62,49.62
event_tag,baseline_random_walk,hawkish_fed,1,0,0.0,,,,,48.52,48.52,48.52
event_tag,baseline_random_walk,intervention_warning,2,0,0.0,,,,,30.7,30.7,30.7
event_tag,baseline_random_walk,oil_retreat,1,0,0.0,,,,,17.04,17.04,17.04
event_tag,baseline_random_walk,ppi_us,1,0,0.0,,,,,48.52,48.52,48.52
event_tag,baseline_random_walk,us_iran,4,0,0.0,,,,,38.97,44.62,38.97
event_tag,baseline_simple_technical,boj_pm_rift,1,1,1.0,,,,,19.3,19.3,19.3
event_tag,baseline_simple_technical,geopolitical_shock,1,0,0.0,,,,,90.3,90.3,8.93
event_tag,baseline_simple_technical,hawkish_fed,1,1,1.0,,,,,9.51,9.51,9.51
event_tag,baseline_simple_technical,intervention_warning,2,2,1.0,,,,,9.84,9.84,9.84
event_tag,baseline_simple_technical,oil_retreat,1,1,1.0,,,,,25.16,25.16,25.16
event_tag,baseline_simple_technical,ppi_us,1,1,1.0,,,,,9.51,9.51,9.51
event_tag,baseline_simple_technical,us_iran,4,3,0.75,,,,,31.34,17.33,11.0
event_tag,ugh,boj_pm_rift,1,1,1.0,1,1.0,1,1.0,20.46,20.46,20.46
event_tag,ugh,geopolitical_shock,1,0,0.0,0,0.0,1,1.0,49.85,49.85,49.38
event_tag,ugh,hawkish_fed,1,1,1.0,0,0.0,1,1.0,48.29,48.29,48.29
event_tag,ugh,intervention_warning,2,2,1.0,2,1.0,2,1.0,30.47,30.47,30.47
event_tag,ugh,oil_retreat,1,1,1.0,1,1.0,1,1.0,16.81,16.81,16.81
event_tag,ugh,ppi_us,1,1,1.0,0,0.0,1,1.0,48.29,48.29,48.29
event_tag,ugh,us_iran,4,3,0.75,2,0.5,4,1.0,38.86,44.38,38.74
